Hp,Ep,Length,Hydrophobic residue%,H,miuH,Normalized Hydrophobic Moment,Normalized Hydrophobicity,Net Charge,Isoelectric Point,Penetration Depth,Tilt Angle,Disordered Conformation Propensity,Linear Moment,Propensity to in vitro Aggregation,Angle Subtended by the Hydrophobic Residues,Amphiphilicity Index,Propensity to PPII coil,Boman Index,PP1,PP2,PP3,KF1,KF2,KF3,KF4,KF5,KF6,KF7,KF8,KF9,KF10,Z1,Z2,Z3,Z4,Z5,F1,F2,F3,F4,F5,F6,T1,T2,T3,T4,T5,VHSE1,VHSE2,VHSE3,VHSE4,VHSE5,VHSE6,VHSE7,VHSE8,ProtFP1,ProtFP2,ProtFP3,ProtFP4,ProtFP5,ProtFP6,ProtFP7,ProtFP8,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,BLOSUM1,BLOSUM2,BLOSUM3,BLOSUM4,BLOSUM5,BLOSUM6,BLOSUM7,BLOSUM8,BLOSUM9,BLOSUM10,MSWHIM1,MSWHIM2,MSWHIM3,Tiny_Mole.,Small_Mole.,Aliphatic_Mole.,Aromatic_Mole.,NonPolar_Mole.,Polar_Mole.,Charged_Mole.,Basic_Mole.,Acidic_Mole.
0.2,0.4,5,0.6,0.968,0.499345835,0.58,0.96,-1,3.22,19,66,0.14,0.57,0,50,1.64,1.43,0.3,-0.294,0.028,-0.436,0.552,0.522,-0.998,-0.666,-0.098,-0.148,0.166,-0.704,0.108,-0.344,-1.758,1.336,1.044,0.468,0.308,-0.0144,-0.494,0.3832,-0.2858,1.464,-0.7828,-1.406,-1.774,-0.25,-0.906,-0.226,0.456,0.546,0.37,0.21,-0.236,-0.54,-0.362,1.218,0.27,0.602,1.394,-0.758,-2.03,-1.048,-0.362,-0.054,-0.3786,-0.2282,0.1652,-0.3762,-0.3536,-0.1796,0.174,-0.1896,0.008,0.432,0.19,-0.618,-0.638,-0.718,0.026,-0.128,0.002,-0.218,0.228,0.58,-0.41,0,40,0,40,80,20,20,0,20
0.2,0.4,5,0.8,1.342,0.626739627,1.13,-0.12,0,3.5,16,102,0.28,0.55,0,100,1.39,1.47,-1.532,-0.646,0.142,-0.254,0.562,0.52,-0.76,-1.046,0.564,0.076,0.21,-0.758,-0.076,-0.266,-2.95,1.24,1.16,1.464,0.162,0.4326,-0.5024,0.5108,-0.511,1.3806,-0.5752,-1.616,-1.942,-0.82,-0.462,-0.47,0.894,0.36,0.436,0.138,0.242,-0.486,-0.716,1.078,2.312,0.2,1.908,-0.276,-1.576,-1.378,-0.862,0.308,-0.3914,-0.0506,0.3728,-0.2116,-0.5268,-0.0696,0.1886,-0.4186,-0.48,0.268,0.13,-0.652,-0.534,-0.628,0.24,-0.158,-0.264,-0.206,0.04,0.858,-0.466,0,40,0,40,100,0,0,0,0
0.2,0.6,5,0.8,1,0.588031983,1.6,-1.18,-1,3.22,13,89,0.81,0.42,0,230,0.25,0.96,-0.3,-0.26,-0.054,-0.392,-0.468,0.258,0.134,-0.366,-0.302,-0.196,0.158,0.388,0.634,-0.518,-1.694,0.046,-0.164,-0.852,-0.326,0.5274,0.412,0.502,0.2472,0.0738,-0.0658,-2.454,-0.192,0.042,-0.282,0.058,0.558,0.194,0.354,-0.564,-0.284,-0.246,-0.54,-0.024,2.6,0.092,-1,-0.478,-0.48,-0.246,0.104,0.304,-0.5026,-0.456,0.104,-0.1932,-0.2206,0.394,-0.165,-0.1116,-0.606,0.078,-0.374,0.25,-0.392,0.232,-0.296,-0.24,0.312,-0.402,0.054,0.598,-0.372,20,20,20,40,60,40,20,0,20
1.2,0.2,5,0.4,0.526,0.443387182,1.87,0.86,1,9.53,16,82,-0.22,0.54,0,100,1.5,1.25,2.542,-0.04,0.008,0.17,0.576,0.344,0.398,0.018,-0.294,-0.502,0.422,-0.714,0.162,0.46,-0.842,0.346,-0.768,0.11,0.16,-0.0278,-0.368,0.3596,0.262,0.7226,0.469,-2.63,-0.092,-0.2,-0.132,0.054,0.076,0.488,0.344,0.038,0.446,-0.2,-0.112,0.728,0.058,0.956,0.94,0.69,-0.45,-0.712,0.464,0.292,-0.5374,-0.0828,0.0294,-0.1496,-0.2594,-0.1388,-0.0396,-0.1448,-0.094,-0.068,-0.352,-0.182,-0.006,-0.316,0.312,-0.446,-0.044,-0.206,-0.2,0.646,-0.162,20,40,20,20,60,40,20,20,0
0.2,0.8,5,0.2,-0.24,0.261673817,0.43,2.7,-1,3.94,21,166,-0.39,0,0,0,1.76,1,6.632,0.69,-0.204,-0.166,0.198,0.404,0.038,0.784,-0.806,0.108,-0.126,0.068,0.006,0.446,1.764,0.79,-0.474,-0.986,-0.308,-0.7158,0.0028,0.1428,-0.0856,-0.121,0.1058,-2.268,1.074,0.384,-0.546,0.404,-0.706,0.722,0.31,0.258,-0.564,0.57,0.098,0.256,-2.672,2.312,-0.734,-1.004,0.202,-0.138,0.476,0.38,-0.4696,-0.0144,-0.197,-0.2474,0.3792,-0.0428,-0.012,0.1182,0.618,0.288,-0.322,0.052,-0.018,0.006,-0.406,-0.228,0.252,-0.138,0.104,0.078,-0.21,20,40,0,20,20,80,60,20,40
0.833,0.167,6,0.833,1.4,0.2981645,1.1,-1.12,0,3.5,13,130,0.59,0.51,0,100,1.15,1.37,-2.378333333,-0.718333333,0.046666667,-0.261666667,0.405,0.285,-0.263333333,-1,0.128333333,-0.666666667,0.113333333,-0.766666667,0.146666667,-0.003333333,-3.128333333,0.413333333,0.383333333,0.635,0.435,0.190833333,-0.364166667,0.5015,0.214666667,1.2005,-0.285666667,-2.375,-1.891666667,-0.328333333,-0.233333333,-0.176666667,0.93,0.246666667,0.323333333,-0.336666667,0.236666667,-0.883333333,-0.48,0.903333333,2.875,-0.57,1.093333333,0.08,-1.608333333,-0.966666667,0.063333333,0.025,-0.537166667,-0.337166667,0.153166667,-0.211833333,-0.598166667,-0.093666667,0.074333333,-0.2925,-0.663333333,-0.026666667,0.018333333,-0.473333333,-0.58,-0.501666667,0.21,-0.138333333,-0.158333333,-0.133333333,-0.14,0.8,-0.458333333,0,50,33.333,33.333,100,0,0,0,0
0.167,0.167,6,0.833,0.878333333,0.163768033,0.87,-1.45,0,3.5,7,106,0.69,0.48,0,150,0,1.07,-2.02,-0.886666667,-0.346666667,-0.011666667,-0.065,-0.585,-0.181666667,-0.623333333,0.461666667,-0.24,0.213333333,0.208333333,-0.121666667,0.03,-1.505,-1.171666667,0.465,0.228333333,0.216666667,0.066,-0.208666667,-0.2645,0.429166667,0.430833333,-0.349333333,-5.715,-1.213333333,-0.451666667,0.483333333,0.745,0.576666667,-0.608333333,-0.543333333,-0.11,0.03,-0.741666667,-0.041666667,0.138333333,1.215,-2.966666667,0.513333333,0.293333333,-0.703333333,-0.056666667,-0.576666667,0.288333333,-1.048333333,-0.2645,0.089166667,0.214,-0.621833333,-0.8295,0.056833333,0.339666667,-0.316666667,-0.373333333,0.121666667,-0.105,-0.41,0.03,0.461666667,0.133333333,0.178333333,-0.008333333,-0.401666667,0.548333333,-0.535,33.333,66.667,33.333,16.667,100,0,0,0,0
0.667,0.167,6,0.333,0.268333333,0.386168654,0.39,1.45,0,7.34,30,110,-0.21,0.53,0,50,0.24,1.2,2.598333333,0.166666667,-0.376666667,0.078333333,0.525,-0.108333333,-0.116666667,0.113333333,0.366666667,-0.09,-0.088333333,-0.213333333,0.66,-0.165,0.563333333,0.33,0.261666667,0.02,0.958333333,-0.2545,-0.462833333,-0.225166667,-0.014,0.5705,-0.2855,-4.285,-0.645,0.403333333,-0.141666667,0.388333333,-0.195,-0.143333333,-0.176666667,-0.04,-0.073333333,0.043333333,0.248333333,0.396666667,-1.608333333,-0.275,0.42,0.513333333,-0.04,-0.951666667,0.086666667,-0.971666667,-0.822833333,-0.2445,-0.3605,-0.2755,0.250333333,-0.0065,0.0955,-0.3455,0.566666667,-0.046666667,-0.203333333,0.42,-0.1,-0.071666667,0.21,-0.563333333,-0.55,0.075,-0.105,0.561666667,-0.625,16.667,66.667,16.667,16.667,33.333,66.667,16.667,16.667,0
0.667,0.333,6,0.667,0.121666667,0.397480129,1.6,-0.02,-1,3.01,17,128,0.41,0.28,0,130,0,0.99,1.711666667,-0.116666667,-0.675,-0.021666667,-0.313333333,-0.84,-0.065,0.218333333,-0.366666667,-0.273333333,-0.473333333,0.075,0.21,-0.191666667,0.945,-1.151666667,0.251666667,-1.033333333,0.756666667,-0.542833333,0.059,-0.601833333,0.594833333,-0.130666667,-0.325333333,-6.555,-0.568333333,0.866666667,0.478333333,1.321666667,-0.236666667,-0.496666667,-0.7,-0.688333333,-0.505,-0.178333333,0.075,-0.14,-1.441666667,-2.133333333,-1.691666667,0.18,0.341666667,-0.16,0.145,0.368333333,-1.182166667,-0.585666667,-0.653666667,0.042,0.182,-0.857166667,0.002333333,0.1955,0.38,-0.595,0.146666667,0.258333333,-0.161666667,0.293333333,-0.103333333,-0.346666667,0.295,0.151666667,-0.465,0.206666667,-0.721666667,50,100,50,0,50,50,16.667,0,16.667
0.833,0.333,6,0.667,0.38,0.423707355,1.37,0.27,0,6.11,18,167,0.16,0.54,0,100,0.83,0.92,2.66,-0.033333333,-0.096666667,-0.14,-0.813333333,0.195,0.201666667,0.318333333,0.006666667,0.018333333,0.325,-0.218333333,-0.238333333,0.055,-0.223333333,-0.15,-1.268333333,-0.336666667,0.013333333,-0.450666667,0.861,0.186666667,0.241166667,0.107666667,0.410333333,-3.355,1.291666667,-0.486666667,0.471666667,0.068333333,-0.08,0.098333333,0.356666667,-0.153333333,0.025,-0.158333333,0.165,-0.148333333,0.678333333,1.273333333,-1.371666667,0.415,-0.18,0.525,-0.29,-0.123333333,-0.667,-0.034166667,-0.035833333,0.022333333,-0.102833333,0.533666667,0.267,0.0685,0.013333333,-0.326666667,-0.813333333,-0.388333333,0.195,0.151666667,-0.101666667,0.186666667,0.03,0.233333333,-0.353333333,0.565,-0.066666667,0,16.667,33.333,0,50,50,33.333,16.667,16.667
