Hp,Ep,Length,Hydrophobic residue%,miuH,H,Normalized Hydrophobic Moment,Normalized Hydrophobicity,Net Charge,Isoelectric Point,Penetration Depth,Tilt Angle,Disordered Conformation Propensity,Linear Moment,Propensity to in vitro Aggregation,Angle Subtended by the Hydrophobic Residues,Amphiphilicity Index,Propensity to PPII coil,Boman Index,PP1,PP2,PP3,KF1,KF2,KF3,KF4,KF5,KF6,KF7,KF8,KF9,KF10,Z1,Z2,Z3,Z4,Z5,F1,F2,F3,F4,F5,F6,T1,T2,T3,T4,T5,VHSE1,VHSE2,VHSE3,VHSE4,VHSE5,VHSE6,VHSE7,VHSE8,ProtFP1,ProtFP2,ProtFP3,ProtFP4,ProtFP5,ProtFP6,ProtFP7,ProtFP8,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,BLOSUM1,BLOSUM2,BLOSUM3,BLOSUM4,BLOSUM5,BLOSUM6,BLOSUM7,BLOSUM8,BLOSUM9,BLOSUM10,MSWHIM1,MSWHIM2,MSWHIM3,Tiny_Mole.,Small_Mole.,Aliphatic_Mole.,Aromatic_Mole.,NonPolar_Mole.,Polar_Mole.,Charged_Mole.,Basic_Mole.,Acidic_Mole.,Anti_Sa,Label
0.231,0.269,26,0.5,0.34938965,0.417307692,1.08,0.07,8,11.79,13,86,-0.09,0.28,18.63,30,1.6,1.01,1.681538462,-0.181923077,-0.045384615,0.266923077,-0.109615385,0.142307692,0.625384615,0.210384615,-0.127692308,-0.546923077,0.142307692,0.000384615,-0.089230769,0.13,-0.466153846,-0.190769231,-1.286923077,0.271923077,0.147692308,-0.329115385,0.155730769,0.286615385,0.4475,-0.052307692,0.6695,-3.425769231,0.357692308,-0.336923077,0.34,0.321923077,0.027692308,0.210384615,0.233846154,-0.155,0.603076923,-0.297692308,0.384230769,0.040384615,0.665769231,0.646538462,-0.074230769,1.127307692,-0.216923077,0.372307692,0.649230769,0.072692308,-0.664153846,-0.202730769,-0.067,-0.047230769,-0.322923077,-0.012269231,0.2095,0.213076923,-0.130384615,-0.251153846,-0.380384615,-0.180384615,0.114230769,0.130769231,0.243846154,-0.030384615,0.062692308,-0.074230769,-0.416538462,0.488076923,-0.073846154,15.385,38.462,42.308,11.538,61.538,38.462,30.769,30.769,0,3.995408,1
0.25,0.292,24,0.125,0.21034866,-0.147916667,0.26,2.45,5,10.79,30,132,-0.73,0.33,0,20,1.82,0.98,4.813333333,0.3875,-0.124583333,0.375833333,0.045416667,0.287083333,-0.07625,0.585416667,0.382083333,-0.062916667,-0.348333333,0.339583333,0.152083333,0.740833333,1.83,0.839166667,-0.47,1.24125,0.0075,-0.544166667,0.035791667,-0.002583333,-0.226583333,-0.183958333,0.352708333,-2.7075,0.3,-0.292083333,-0.649583333,0.407083333,-0.553333333,0.182916667,0.139583333,0.53375,0.39875,0.635,0.738333333,0.165,-1.935416667,1.604166667,0.786666667,0.579166667,0.287916667,0.375416667,-0.415,-0.49,-0.526375,0.207041667,0.041333333,-0.345166667,0.0575,-0.191541667,0.526916667,0.52025,0.634166667,0.604583333,-0.34875,0.362083333,0.29375,-0.0675,0.34875,0.045,0.159166667,0.03125,0.136666667,0.310833333,-0.243333333,20.833,25,4.167,41.667,25,75,66.667,58.333,8.333,116.0380045,2
0.318,0.545,22,0.455,0.281466377,0.397727273,0.92,0.17,3,10.43,18,121,0.05,0.21,67.42,80,0.84,1.04,1.647272727,-0.162727273,-0.201818182,0.130454545,-0.131818182,-0.067272727,0.211363636,0.178636364,-0.145454545,-0.334545455,0.365,-0.144090909,0.163181818,-0.030909091,-0.115909091,-0.479545455,-0.731363636,-0.243181818,0.226818182,-0.150818182,0.120818182,-0.022590909,0.379272727,0.274636364,0.246909091,-4.277727273,0.223636364,-0.256818182,0.385909091,0.377272727,-0.05,-0.020909091,0.012727273,-0.163181818,0.195909091,-0.31,0.315909091,0.241818182,-0.245,-0.082727273,-0.261818182,0.745454545,-0.454545455,0.093636364,0.301818182,-0.049545455,-0.810318182,-0.326227273,-0.154318182,-0.011272727,-0.244045455,0.043045455,0.176409091,0.046181818,0.088636364,-0.412272727,-0.252272727,-0.13,0.035,0.017727273,0.088636364,-0.068181818,0.013181818,-0.146818182,-0.432727273,0.414090909,-0.161363636,22.727,40.909,31.818,4.545,54.545,45.455,31.818,22.727,9.091,98.7808825,2
0.36,0.32,25,0.44,0.369713347,0.2784,1.11,0.46,4,10.37,27,42,-0.06,0.25,71.21,80,1.2,0.94,2.042,-0.0056,-0.1744,0.1492,-0.3048,0.0448,0.1212,0.2876,-0.0332,-0.554,0.304,0.0072,0.0716,0.2164,0.21,-0.2168,-0.8892,-0.166,0.2504,-0.32716,0.35872,0.05992,0.45564,-0.06696,0.30468,-3.9812,0.6772,-0.2624,0.3464,0.418,-0.1476,0.0468,0.1084,0.0016,0.2552,-0.118,0.482,-0.194,-0.2572,0.556,-0.464,0.74,-0.2624,0.5792,0.2332,-0.2872,-0.75772,-0.14024,-0.09268,-0.05536,-0.14372,0.1784,0.19572,0.24104,0.126,-0.2196,-0.4316,-0.0348,0.2528,0.1648,0.0848,0.0688,0.0108,-0.0416,-0.3488,0.3844,-0.1236,16,32,36,8,48,52,36,28,8,98.8038914,2
0.133,0.4,45,0.4,0.187798573,0.102,0.58,0.71,12,12.05,30,54,-0.25,0.21,5.05,20,1.04,0.93,2.794666667,-0.116222222,-0.202,0.318888889,-0.153777778,-0.152888889,0.045111111,0.370444444,-0.218444444,-0.473111111,0.489555556,0.120888889,-0.003555556,0.092,0.688666667,-0.387333333,-0.824,0.056666667,0.278888889,-0.308133333,0.102377778,-0.1474,0.511288889,-0.049333333,0.346044444,-4.583555556,0.554222222,-0.342444444,0.320888889,0.768666667,-0.263555556,-0.033333333,-0.154,0.253333333,0.360222222,-0.077111111,0.615555556,-0.093777778,-1.250888889,-0.108888889,0.116222222,0.896888889,-0.167333333,0.703111111,-0.028888889,0.201111111,-0.851222222,-0.119666667,-0.116844444,0.038666667,-0.298066667,-0.368577778,0.3066,0.603688889,0.310444444,-0.216444444,-0.127555556,-0.147111111,0.25,0.265555556,0.300888889,0.084222222,0.169777778,-0.198666667,-0.372222222,0.306888889,-0.099333333,33.333,42.222,28.889,6.667,51.111,48.889,35.556,31.111,4.444,4.53339,1
0.14,0.302,43,0.512,0.080444202,0.382790698,0.09,-0.18,4,8.4,19,94,0.2,0.23,0,40,0.66,0.96,1.482325581,-0.23744186,-0.368837209,0.201162791,-0.066046512,-0.463488372,0.219534884,0.051860465,-0.273488372,-0.066744186,0.240465116,0.160930233,0.055348837,0.361627907,0.608604651,-0.946744186,0.016511628,-0.199069767,-0.115348837,-0.239534884,-0.014348837,-0.417325581,0.244767442,-0.286255814,0.202465116,-5.515116279,-0.021395349,-0.04255814,0.420232558,0.983953488,-0.112790698,-0.42744186,-0.388837209,-0.003023256,0.060465116,-0.036976744,0.23627907,-0.199767442,-0.174418605,-1.463255814,0.005348837,0.260697674,0.439534884,0.472093023,0.120697674,0.015348837,-1.004976744,-0.246790698,-0.186093023,0.155674419,-0.198697674,-0.624046512,0.258,0.374627907,0.04,-0.378372093,0.17372093,0.155348837,0.269302326,0.136744186,0.109767442,0.11,0.13744186,-0.010930233,-0.431860465,0.271627907,-0.319767442,44.186,65.116,32.558,6.977,62.791,37.209,25.581,18.605,6.977,0.8,1
0.143,0.143,28,0.714,0.245628622,0.450714286,0.79,-0.81,6,11.38,10,104,0.28,0.17,80.81,80,1.03,0.89,-0.6675,-0.465714286,-0.305714286,0.262142857,-0.763571429,-0.459642857,-0.188928571,-0.011428571,-0.068214286,-1.086785714,0.308571429,-0.126428571,-0.110357143,0.183214286,-0.573571429,-1.140714286,-0.793928571,0.029285714,0.635,-0.130607143,0.555035714,-0.131821429,1.028428571,-0.009464286,0.080571429,-5.603214286,-0.200357143,-0.160357143,0.810714286,0.901071429,0.169285714,-0.289642857,-0.287857143,-0.405357143,0.414642857,-0.609285714,0.49,-0.355357143,0.485357143,-1.295357143,-0.918214286,1.369285714,-0.714642857,0.878571429,-0.1425,0.355,-1.01025,-0.413071429,-0.217642857,0.051107143,-0.393464286,-0.446428571,0.184,0.5155,-0.118571429,-0.551071429,-0.148928571,-0.230714286,0.184642857,0.266785714,0.293928571,-0.0275,0.358571429,0.008571429,-0.600714286,0.382857143,-0.266071429,39.286,53.571,64.286,3.571,71.429,28.571,21.429,21.429,0,3.30844,1
0.05,0.65,20,0.35,0.652171868,-0.086,1.87,1.48,10,12.19,26,34,-0.71,0.21,0,100,1.84,0.9,4.173,0.1425,0.079,0.441,-0.257,0.482,0.2205,0.7465,0.022,-0.787,0.7445,0.0845,0.0515,0.266,0.674,0.4315,-1.8485,0.504,0.2445,-0.46465,0.42475,0.33385,0.4609,-0.06965,0.81865,-2.831,1.6275,-0.866,0.357,0.105,-0.415,0.5055,0.48,0.3925,0.7975,0.151,0.9425,-0.0105,-1.2285,2.456,0.0625,1.424,-0.471,0.877,0.257,0.0845,-0.5596,0.05205,0.0654,-0.07185,-0.32565,0.57325,0.3789,0.41865,0.3545,-0.1365,-0.625,-0.339,0.4245,0.2655,0.2165,0.162,-0.0685,-0.428,-0.383,0.292,0.2715,5,10,25,5,35,65,60,55,5,10.2412,1
0.7,0.25,20,0.25,0.556263605,-0.1935,1.4,2,10,12.19,30,17,-0.88,0.33,0,40,1.84,1.02,4.568,0.151,0.0175,0.472,-0.004,0.408,0.034,0.7815,0.126,-0.793,0.7825,-0.226,0.007,0.349,0.9135,0.448,-1.632,0.589,0.4625,-0.6439,0.1795,0.1702,0.4127,0.32425,0.68725,-3.154,1.3345,-0.88,0.3145,0.1085,-0.5325,0.465,0.367,0.4955,0.769,0.0835,0.998,0.362,-2.2775,2.2675,0.4875,1.5255,-0.7515,0.5645,0.166,0.048,-0.6243,0.06065,0.02215,-0.0626,-0.34,0.4012,0.4058,0.35355,0.5965,-0.1985,-0.5335,-0.476,0.358,0.035,0.309,0.112,-0.121,-0.404,-0.4185,0.281,0.241,5,20,20,0,35,65,60,55,5,159.6288,3
0.2,0.45,20,0.25,0.393722413,-0.36,1.11,2.28,12,12.21,30,20,-1.06,0.35,0,40,2.2,0.9,5.22,0.2945,0.09,0.562,-0.2025,0.572,0.12,1.01,0.2305,-0.848,0.853,0.089,-0.052,0.3685,1.3115,0.672,-1.9375,0.731,0.2205,-0.73955,0.39875,0.28675,0.3623,-0.10355,0.92005,-2.6585,1.8615,-1.003,0.2555,0.0935,-0.6635,0.579,0.517,0.6025,0.9355,0.367,1.1095,0.04,-2.3445,3.109,0.3425,1.638,-0.492,0.9965,0.18,0.243,-0.52945,0.146,0.11065,-0.07055,-0.313,0.56855,0.4498,0.5186,0.612,-0.041,-0.623,-0.4345,0.535,0.2445,0.2385,0.1575,-0.0175,-0.5225,-0.3515,0.2225,0.352,5,10,15,5,25,75,70,65,5,165.90976,3
